title,link,snippet
Benchmarking knowledge-driven zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1570826822000415,External knowledge (aka side information) plays a critical role in zero-shot learning (ZSL) which aims to predict with unseen classes that have never appeared in training data …
Disentangled action recognition with knowledge bases,https://arxiv.org/abs/2207.01708,"Action in video usually involves the interaction of human with objects. Action labels are typically composed of various combinations of verbs and nouns, but we may not have …"
Knowledge Graphs Meet Multi-Modal Learning: A Comprehensive Survey,https://arxiv.org/abs/2402.05391,"Knowledge Graphs (KGs) play a pivotal role in advancing various AI applications, with the semantic web community's exploration into multi-modal dimensions unlocking new avenues …"
Zero-shot node classification with graph contrastive embedding network,https://openreview.net/forum?id=8wGXnjRLSy,"This paper studies zero-shot node classification, which aims to predict new classes (ie, unseen classes) of nodes in a graph. This problem is challenging yet promising in a variety …"
Zero-shot Object Classification with Large-scale Knowledge Graph,https://openaccess.thecvf.com/content/CVPR2023W/L3D-IVU/html/Shiba_Zero-Shot_Object_Classification_With_Large-Scale_Knowledge_Graph_CVPRW_2023_paper.html,Zero-shot learning is used to predict unseen categories and can solve problems such as dealing with unseen categories that were not anticipated at the time of training and the lack …
Tight lower bounds on worst-case guarantees for zero-shot learning with attributes,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7c9b9ecc92a679f1b6c76ed8f99f2636-Abstract-Conference.html,"We develop a rigorous mathematical analysis of zero-shot learning with attributes. In this setting, the goal is to label novel classes with no training data, only detectors for attributes …"
Part-Object Progressive Refinement Network for Zero-Shot Learning,https://ieeexplore.ieee.org/abstract/document/10471325/,"Zero-shot learning (ZSL) recognizes unseen images by sharing semantic knowledge transferred from seen images, encouraging the investigation of associations between …"
Generalised zero-shot learning for entailment-based text classification with external knowledge,https://ieeexplore.ieee.org/abstract/document/9821074/,"Text classification techniques have been substantially important to many smart computing applications, eg topic extraction and event detection. However, classification is always …"
CGUN-2A: Deep Graph Convolutional Network via Contrastive Learning for Large-Scale Zero-Shot Image Classification,https://www.mdpi.com/1424-8220/22/24/9980,Taxonomy illustrates that natural creatures can be classified with a hierarchy. The connections between species are explicit and objective and can be organized into a …
Multi-view graph representation with similarity diffusion for general zero-shot learning,https://www.sciencedirect.com/science/article/pii/S089360802300357X,Zero-shot learning (ZSL) aims to predict unseen classes without using samples of these classes in model training. The ZSL has been widely used in many knowledge-based models …
