title,link,snippet
Debiased learning from naturally imbalanced pseudo-labels,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_Debiased_Learning_From_Naturally_Imbalanced_Pseudo-Labels_CVPR_2022_paper.html,"This work studies the bias issue of pseudo-labeling, a natural phenomenon that widely occurs but often overlooked by prior research. Pseudo-labels are generated when a …"
Zero-shot and few-shot learning with knowledge graphs: A comprehensive survey,https://ieeexplore.ieee.org/abstract/document/10144560/,"Machine learning (ML), especially deep neural networks, has achieved great success, but many of them often rely on a number of labeled samples for supervision. As sufficient …"
What can knowledge bring to machine learning?—a survey of low-shot learning for structured data,https://dl.acm.org/doi/abs/10.1145/3510030,"Supervised machine learning has several drawbacks that make it difficult to use in many situations. Drawbacks include heavy reliance on massive training data, limited …"
Fusing external knowledge resources for natural language understanding techniques: A survey,https://www.sciencedirect.com/science/article/pii/S1566253522002354,"Abstract Knowledge resources, eg knowledge graphs, which formally represent essential semantics and information for logic inference and reasoning, can compensate for the …"
Kvl-bert: Knowledge enhanced visual-and-linguistic bert for visual commonsense reasoning,https://www.sciencedirect.com/science/article/pii/S0950705121006705,"Abstract Reasoning is a critical ability towards complete visual understanding. To develop machine with cognition-level visual understanding and reasoning abilities, the visual …"
Exploring hierarchical graph representation for large-scale zero-shot image classification,https://link.springer.com/chapter/10.1007/978-3-031-20044-1_7,"The main question we address in this paper is how to scale up visual recognition of unseen classes, also known as zero-shot learning, to tens of thousands of categories as in the …"
Commonsense knowledge powered heterogeneous graph attention networks for semi-supervised short text classification,https://www.sciencedirect.com/science/article/pii/S0957417423013027,"In real-world scenarios, considerable human power and expert knowledge are required to label data. Therefore, solving short text classification problems in a semi-supervised manner …"
Does clip bind concepts? probing compositionality in large image models,https://arxiv.org/abs/2212.10537,"Large-scale neural network models combining text and images have made incredible progress in recent years. However, it remains an open question to what extent such models …"
Deep Semantic-Visual Alignment for zero-shot remote sensing image scene classification,https://www.sciencedirect.com/science/article/pii/S0924271623000527,"Deep neural networks have achieved promising progress in remote sensing (RS) image classification, for which the training process requires abundant samples for each class …"
A survey on knowledge-enhanced multimodal learning,https://arxiv.org/abs/2211.12328,"Multimodal learning has been a field of increasing interest, aiming to combine various modalities in a single joint representation. Especially in the area of visiolinguistic (VL) …"
