title,link,snippet
Zero-Shot Learning of Language Models for Describing ...,https://aclanthology.org/Y14-1012.pdf,"We propose a novel framework for zero-shot learning of topic-dependent language models, which enables the learning of language mod-."
Zero-shot Learning of Classifiers from Natural Language ...,https://aclanthology.org/P18-1029,Humans can efficiently learn new concepts using language. We present a framework through which a set of explanations of a concept can be used to learn a ...
Zshot: An Open-source Framework for Zero-Shot Named ...,https://aclanthology.org/2023.acl-demo.34,Abstract. The Zero-Shot Learning (ZSL) task pertains to the identification of entities or relations in texts that were not seen during training.
Learn to Adapt for Generalized Zero-Shot Text Classification,https://aclanthology.org/2022.acl-long.39.pdf,Abstract. Generalized zero-shot text classification aims to classify textual instances from both previ- ously seen classes and incrementally ...
Respectful or Toxic? Using Zero-Shot Learning with ...,https://aclanthology.org/2023.woah-1.6,This paper explores zero-shot learning with prompting for hate speech detection. We investigate how well zero-shot learning can detect hate speech in 3 ...
Textual Description Needs to be Refined for Zero-shot ...,https://aclanthology.org/2022.findings-emnlp.455,"Abstract. Zero-Shot Learning (ZSL) has shown great promise at the intersection of vision and language, and generative methods for ZSL are predominant owing ..."
ZeroGen: Efficient Zero-shot Learning via Dataset Generation,https://aclanthology.org/2022.emnlp-main.801,"In this paper, we study a flexible and efficient zero-short learning method, ZeroGen. Given a zero-shot task, we first generate a dataset from scratch using ..."
MULTIINSTRUCT: Improving Multi-Modal Zero-Shot ...,https://aclanthology.org/2023.acl-long.641.pdf,Experimental re- sults demonstrate strong zero-shot performance on various unseen multimodal tasks and the benefit of transfer learning from a ...
An Incremental Zero-shot Learning Approach for Assessing ...,https://aclanthology.org/2022.bea-1.8,Abstract. Peer assessment is an effective and efficient pedagogical strategy for delivering feedback to learners. Asking students to provide quality ...
Zero-shot Learning for Grapheme to Phoneme Conversion ...,https://aclanthology.org/2022.findings-acl.166,This work attempts to apply zero-shot learning to approximate G2P models for all low-resource and endangered languages in Glottolog (about 8k languages). For ...
