title,link,snippet
ZeroGen: Efficient Zero-shot Learning via Dataset Generation,https://aclanthology.org/2022.emnlp-main.801,"In this paper, we study a flexible and efficient zero-short learning method, ZeroGen. Given a zero-shot task, we first generate a dataset from scratch using ..."
Zero-shot Text Classification via Reinforced Self-training,https://aclanthology.org/2020.acl-main.272.pdf,"Zero-shot learning has been a tough problem since no labeled data is available for unseen classes during training, especially for classes."
Few-shot and Zero-shot Approaches to Legal Text ...,https://aclanthology.org/2021.nllp-1.10.pdf,"A criticism of such NLP-based approaches to predictive coding, especially with the emergence of more sophisticated deep learning methods, is ..."
Extreme Zero-Shot Learning for Extreme Text Classification,https://aclanthology.org/2022.naacl-main.399.pdf,The eXtreme Multi-label text Classification. (XMC) problem concerns finding most relevant labels for an input text instance from a large.
Textual Description Needs to be Refined for Zero-shot ...,https://aclanthology.org/2022.findings-emnlp.455,"Zero-Shot Learning (ZSL) has shown great promise at the intersection of vision and language, and generative methods for ZSL are predominant owing to their ..."
Zero-Shot Transfer Learning for Event Extraction,https://aclanthology.org/P18-1201.pdf,"Most previous supervised event extraction methods have relied on features derived from manual annotations, and thus can- not be applied to new event types ..."
Zero-shot Learning for Grapheme to Phoneme Conversion ...,https://aclanthology.org/2022.findings-acl.166,"Most existing work focuses heavily on languages with abundant training datasets, which limits the scope of target languages to less than 100 languages. This ..."
The COT COLLECTION: Improving Zero-shot and Few- ...,https://aclanthology.org/2023.emnlp-main.782.pdf,"In the zero-shot learning setting, CoT-T5 (3B &. 11B) outperforms Flan-T5 (3B & 11B) by +4.34% and +2.60% on average accuracy across 27 datasets."
An Incremental Zero-shot Learning Approach for Assessing ...,https://aclanthology.org/2022.bea-1.8,"In other words, collecting adequate peer feedback for training a supervised algorithm can take several semesters before the model can be deployed to a new class ..."
"Don't Prompt, Search! Mining-based Zero-Shot Learning ...",https://aclanthology.org/2022.emnlp-main.509,"In this paper, we propose an alternative mining-based approach for zero-shot learning. Instead of prompting language models, we use regular expressions to mine ..."
