title,link,snippet
Zero-Shot Learning via Visual Abstraction,https://link.springer.com/chapter/10.1007/978-3-319-10593-2_27,Abstract. One of the main challenges in learning fine-grained visual categories is gathering training images. Recent work in Zero-Shot Learning (ZSL) ...
Class-Incremental Generalized Zero-Shot Learning,https://link.springer.com/article/10.1007/s11042-023-16316-7,"Zero-Shot Learning (ZSL) focuses on transferring knowledge learned from the source domain to the target domain. In the classic setting, ..."
Learning semantic ambiguities for zero-shot learning,https://link.springer.com/article/10.1007/s11042-023-14877-1,"Abstract. Zero-shot learning (ZSL) aims at recognizing classes for which no visual sample is available at training time. To address this issue, ..."
A study on zero-shot learning from semantic viewpoint,https://link.springer.com/article/10.1007/s00371-022-02470-w,The proposed method uses a joint learning framework that learns from the source and target data simultaneously by creating a common space. This ...
Information bottleneck and selective noise supervision for ...,https://link.springer.com/article/10.1007/s10994-022-06196-7,Zero-shot learning (ZSL) aims to recognize novel classes by transferring semantic knowledge from seen classes to unseen classes.
From zero-shot machine learning to zero-day attack detection,https://link.springer.com/article/10.1007/s10207-023-00676-0,Zero-shot learning (ZSL) is an emerging methodology used to evaluate and improve the generalisability of ML models to new or unseen data classes ...
Zero-shot learning via self-organizing maps,https://link.springer.com/article/10.1007/s00521-023-08299-1,"Instead of starting with completely random vectors, this approach determines the weight vectors based on linear combinations of the first two ..."
Dynamic visual-guided selection for zero-shot learning,https://link.springer.com/article/10.1007/s11227-023-05625-1,Zero-shot learning (ZSL) methods currently employed to identify seen or unseen classes rely on semantic attribute prototypes or class ...
An effective zero-shot learning approach for intelligent fault ...,https://link.springer.com/article/10.1007/s10489-022-04342-1,"ZSL provides a powerful tool for solving the unseen fault detection problem concerned in this work, and a reasonable solution is to combine ..."
Semantics-Guided Intra-Category Knowledge Transfer for ...,https://link.springer.com/article/10.1007/s11263-023-01767-0,"Zero-shot learning (ZSL) requires one to associate visual and semantic information observed from data of seen classes, so that test data of ..."
