title,link,snippet
An embarrassingly simple approach to zero-shot learning,https://proceedings.mlr.press/v37/romera-paredes15.pdf,Zero-shot learning consists in learning how to recognise new concepts by just having a descrip- tion of them. Many sophisticated approaches.
SDM-Net: A Simple and Effective Model for Generalized Zero ...,https://proceedings.mlr.press/v161/daghaghi21a/daghaghi21a.pdf,"Zero-Shot Learning (ZSL) is a classification task where some classes referred to as unseen classes have no training images. Instead, we only have side."
Co-Representation Network for Generalized Zero-Shot Learning,http://proceedings.mlr.press/v97/zhang19l/zhang19l.pdf,Zero-shot learning (ZSL) is an important field in computer vision. It aims at classifying images of unseen classes through establishing mathematical ...
Multi-Label Generalized Zero Shot Learning for the ...,https://proceedings.mlr.press/v149/hayat21a/hayat21a.pdf,"(2021), our network can assign multiple labels to a query image and can generalize to an open set of unseen classes since it does not rely on existing reports ..."
A simple and effective model for generalized zero-shot learning,https://proceedings.mlr.press/v161/daghaghi21a.html,"Zero-Shot Learning (ZSL) is a classification task where some classes referred to as unseen classes have no training images. Instead, we only have side ..."
Max-Margin Zero-Shot Learning for Multi-class Classification,http://proceedings.mlr.press/v38/li15d.pdf,"Zero-shot learning addresses the challenging problem of knowledge transfer from observed classes to un- seen classes (i.e., novel classes) in which there are no ..."
Zero-Shot Task Generalization with Multi-Task Deep ...,http://proceedings.mlr.press/v70/oh17a/oh17a.pdf,"Generalization: Pre-training of skills can only be done on a subset of subtasks, but the agent is required to per- form previously unseen subtasks (e.g., going ..."
Evolving Semantic Prototype Improves Generative Zero-Shot ...,https://proceedings.mlr.press/v202/chen23l/chen23l.pdf,"In zero-shot learning (ZSL), generative methods synthesize class-related sample features based on predefined semantic prototypes. They advance the."
Zero-Shot Knowledge Distillation in Deep Networks,http://proceedings.mlr.press/v97/nayak19a/nayak19a.pdf,Abstract. Knowledge distillation deals with the problem of training a smaller model (Student) from a high ca- pacity source model (Teacher) so as to retain ...
Context-Aware Zero-Shot Learning for Object Recognition,http://proceedings.mlr.press/v97/zablocki19a/zablocki19a.pdf,"Abstract. Zero-Shot Learning (ZSL) aims at classifying unlabeled objects by leveraging auxiliary knowl- edge, such as semantic representations. A limita-."
Zero-Shot Knowledge Distillation in Deep Networks,http://proceedings.mlr.press/v97/nayak19a/nayak19a.pdf,"Existing approaches use either the training data or meta-data extracted from it in order to train the Student. However, accessing the dataset on which the ..."
Zero-Shot Text-to-Image Generation,https://proceedings.mlr.press/v139/ramesh21a.html,"Proceedings of the 38th International Conference on Machine Learning, PMLR 139:8821-8831, 2021. Abstract. Text-to-image generation has traditionally focused on ..."
Context-Aware Zero-Shot Learning for Object Recognition,https://proceedings.mlr.press/v97/zablocki19a.html,"Following the intuitive principle that objects tend to be found in certain contexts but not others, we propose a new and challenging approach, context-aware ZSL ..."
Zero-Shot Task Generalization with Robotic Imitation Learning,https://proceedings.mlr.press/v164/jang22a/jang22a.pdf,"Our main contribution is an empirical study of a large-scale interactive imitation learning system that solves a breadth of tasks, including zero-shot and few- ..."
Co-Representation Network for Generalized Zero-Shot Learning,https://proceedings.mlr.press/v97/zhang19l.html,"The network consists of a cooperation module for representation and a relation module for classification, it is simple in structure and can be easily trained in ..."
Zero-shot AutoML with Pretrained Models,https://proceedings.mlr.press/v162/ozturk22a.html,"Proceedings of the 39th International Conference on Machine Learning, PMLR 162:17138-17155, 2022. Abstract. Given a new dataset D and a low compute budget, how ..."
Zero-Shot Knowledge Distillation from a Decision-Based ...,https://proceedings.mlr.press/v139/wang21a.html,"Proceedings of the 38th International Conference on Machine Learning, PMLR 139:10675-10685, 2021. Abstract. Knowledge distillation (KD) is a successful approach ..."
Zero-Shot Reward Specification via Grounded Natural ...,https://proceedings.mlr.press/v162/mahmoudieh22a/mahmoudieh22a.pdf,Reward signals in reinforcement learning are ex- pensive to design and often require access to the true state which is not available in the real world.
“Other-Play” for Zero-Shot Coordination,https://proceedings.mlr.press/v119/hu20a.html,Standard Multi-Agent Reinforcement Learning (MARL) methods typically focus on the self-play (SP) setting where agents construct strategies by playing the game ...
``Other-Play'' for Zero-Shot Coordination,http://proceedings.mlr.press/v119/hu20a/hu20a.pdf,Standard Multi-Agent Reinforcement. Learning (MARL) methods typically focus on the self-play (SP) setting where agents construct strategies by playing the game ...
