title,link,snippet
Zero-Shot Knowledge Distillation in Deep Networks,http://proceedings.mlr.press/v97/nayak19a/nayak19a.pdf,"Existing approaches use either the training data or meta-data extracted from it in order to train the Student. However, accessing the dataset on which the ..."
Zero-Shot Text-to-Image Generation,https://proceedings.mlr.press/v139/ramesh21a.html,"Proceedings of the 38th International Conference on Machine Learning, PMLR 139:8821-8831, 2021. Abstract. Text-to-image generation has traditionally focused on ..."
Context-Aware Zero-Shot Learning for Object Recognition,https://proceedings.mlr.press/v97/zablocki19a.html,"Following the intuitive principle that objects tend to be found in certain contexts but not others, we propose a new and challenging approach, context-aware ZSL ..."
Zero-Shot Task Generalization with Robotic Imitation Learning,https://proceedings.mlr.press/v164/jang22a/jang22a.pdf,"Our main contribution is an empirical study of a large-scale interactive imitation learning system that solves a breadth of tasks, including zero-shot and few- ..."
Co-Representation Network for Generalized Zero-Shot Learning,https://proceedings.mlr.press/v97/zhang19l.html,"The network consists of a cooperation module for representation and a relation module for classification, it is simple in structure and can be easily trained in ..."
Zero-shot AutoML with Pretrained Models,https://proceedings.mlr.press/v162/ozturk22a.html,"Proceedings of the 39th International Conference on Machine Learning, PMLR 162:17138-17155, 2022. Abstract. Given a new dataset D and a low compute budget, how ..."
Zero-Shot Knowledge Distillation from a Decision-Based ...,https://proceedings.mlr.press/v139/wang21a.html,"Proceedings of the 38th International Conference on Machine Learning, PMLR 139:10675-10685, 2021. Abstract. Knowledge distillation (KD) is a successful approach ..."
Zero-Shot Reward Specification via Grounded Natural ...,https://proceedings.mlr.press/v162/mahmoudieh22a/mahmoudieh22a.pdf,Reward signals in reinforcement learning are ex- pensive to design and often require access to the true state which is not available in the real world.
“Other-Play” for Zero-Shot Coordination,https://proceedings.mlr.press/v119/hu20a.html,Standard Multi-Agent Reinforcement Learning (MARL) methods typically focus on the self-play (SP) setting where agents construct strategies by playing the game ...
``Other-Play'' for Zero-Shot Coordination,http://proceedings.mlr.press/v119/hu20a/hu20a.pdf,Standard Multi-Agent Reinforcement. Learning (MARL) methods typically focus on the self-play (SP) setting where agents construct strategies by playing the game ...
