title,link,snippet
Zero-Shot Learning Through Cross-Modal Transfer,http://papers.nips.cc/paper/5027-zero-shot-learning-through-cross-modal-transfer.pdf,This work introduces a model that can recognize objects in images even if no training data is available for the object class. The only necessary knowledge about.
Zero-shot Learning via Simultaneous Generating and ...,http://papers.nips.cc/paper/8300-zero-shot-learning-via-simultaneous-generating-and-learning.pdf,Zero-shot learning (ZSL) is a learning paradigm that proposes an elegant way to fulfill this desideratum by utilizing semantic descriptions of seen and ...
Zero-shot recognition with unreliable attributes,https://papers.nips.cc/paper/5290-zero-shot-recognition-with-unreliable-attributes,We propose a novel random forest approach to train zero-shot models that explicitly accounts for the unreliability of attribute predictions. By leveraging ...
HSVA: Hierarchical Semantic-Visual Adaptation for Zero- ...,https://papers.nips.cc/paper_files/paper/2021/file/8b0d268963dd0cfb808aac48a549829f-Paper.pdf,"Zero-shot learning (ZSL) tackles the unseen class recognition problem, transferring semantic knowledge from seen classes to unseen ones."
Zero-Shot Semantic Segmentation,https://papers.nips.cc/paper/8338-zero-shot-semantic-segmentation.pdf,"In this paper, we introduce the new task of zero-shot semantic segmentation: learning pixel-wise classifiers for never-seen object categories with zero training ..."
Generating Training Data with Language Models,https://papers.nips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,"In this paper, we present a simple approach that uses both types of PLMs for fully zero-shot learning of NLU tasks without requiring any task-specific data: A ..."
Large Language Models are Zero-Shot Reasoners,https://papers.nips.cc/paper_files/paper/2022/file/8bb0d291acd4acf06ef112099c16f326-Paper-Conference.pdf,Pretrained large language models (LLMs) are widely used in many sub-fields of natural language processing (NLP) and generally known as excellent few-shot.
Generalized Zero-Shot Learning with Deep Calibration ...,https://papers.nips.cc/paper/7471-generalized-zero-shot-learning-with-deep-calibration-network,"In this paper, we study generalized zero-shot learning that assumes accessible to target classes for unseen data during training, and prediction on unseen data ..."
A causal view of compositional zero-shot recognition,https://papers.nips.cc/paper/2020/file/1010cedf85f6a7e24b087e63235dc12e-Paper.pdf,Compositional zero-shot recognition is the problem of learning to recognize new combinations of known components. People seamlessly recognize and generate new ...
Zero-shot Learning with Semantic Output Codes - NIPS papers,https://papers.nips.cc/paper/3650-zero-shot-learning-with-semantic-output-codes,"As a case study, we build a SOC classifier for a neural decoding task and show that it can often predict words that people are thinking about from functional ..."
Zero-shot Learning with Semantic Output Codes - NIPS papers,https://papers.nips.cc/paper/3650-zero-shot-learning-with-semantic-output-codes,"Abstract. We consider the problem of zero-shot learning, where the goal is to learn a classifier f:X→Y f : X → Y that must predict novel values of Y Y that ..."
The Emergence of Objectness: Learning Zero-shot ...,https://papers.nips.cc/paper/2021/hash/6d9cb7de5e8ac30bd5e8734bc96a35c1-Abstract.html,"Humans can easily detect and segment moving objects simply by observing how they move, even without knowledge of object semantics. Inspired by this, we develop ..."
Large Language Models are Zero-Shot Reasoners,http://papers.nips.cc/paper_files/paper/2022/hash/8bb0d291acd4acf06ef112099c16f326-Abstract-Conference.html,"While these successes are often attributed to LLMs' ability for few-shot learning, we show that LLMs are decent zero-shot reasoners by simply adding Let's think ..."
Reviews: Zero-shot Learning via Simultaneous Generating ...,https://papers.nips.cc/paper_files/paper/2019/file/19ca14e7ea6328a42e0eb13d585e4c22-MetaReview.html,"The addresses zero-shot learning by an EM process of iteratively generating examples from unseen classes, and learning with them, this leads to generating ..."
Zero-shot Learning via Simultaneous Generating and ...,https://papers.nips.cc/paper/8300-zero-shot-learning-via-simultaneous-generating-and-learning).,"To overcome the absence of training data for unseen classes, conventional zero-shot learning approaches mainly train their model on seen datapoints and leverage ..."
Compositional Zero-Shot Learning via Fine-Grained Dense ...,https://papers.nips.cc/paper_files/paper/2020/file/e58cc5ca94270acaceed13bc82dfedf7-Paper.pdf,We develop a novel generative model for zero-shot learning to recognize fine- grained unseen classes without training samples.
Domain-Invariant Projection Learning for Zero-Shot ...,https://papers.nips.cc/paper/7380-domain-invariant-projection-learning-for-zero-shot-recognition.pdf,"Zero-shot learning (ZSL) aims to recognize unseen object classes without any training samples, which can be regarded as a form of transfer learning from ..."
Fine-Grained Zero-Shot Learning with DNA as Side ...,https://papers.nips.cc/paper/2021/hash/a18630ab1c3b9f14454cf70dc7114834-Abstract.html,On a newly compiled fine-grained insect dataset that uses DNA information from over a thousand species we show that the Bayesian approach outperforms state-of- ...
Transductive Zero-Shot Learning with Visual Structure ...,https://papers.nips.cc/paper/9188-transductive-zero-shot-learning-with-visual-structure-constraint.pdf,"To recognize objects of the unseen classes, most existing Zero-Shot Learning(ZSL) methods first learn a compatible projection function between the common ..."
Fine-Grained Zero-Shot Learning with DNA as Side ...,https://papers.nips.cc/paper_files/paper/2021/file/a18630ab1c3b9f14454cf70dc7114834-Paper.pdf,Fine-grained zero-shot learning task requires some form of side-information to transfer discriminative information from seen to unseen classes. As manually.
