title,link,snippet
Zero-shot learning with common sense knowledge graphs,https://arxiv.org/abs/2006.10713,Zero-shot learning relies on semantic class representations such as hand-engineered attributes or learned embeddings to predict classes without any labeled examples. We …
Zero-shot learning via contrastive learning on dual knowledge graphs,https://openaccess.thecvf.com/content/ICCV2021W/GSP-CV/html/Wang_Zero-Shot_Learning_via_Contrastive_Learning_on_Dual_Knowledge_Graphs_ICCVW_2021_paper.html,"Abstract Graph Convolutional Networks (GCNs), which can integrate both explicit knowledge and implicit knowledge together, have shown effectively for zero-shot learning …"
Semantic guided knowledge graph for large-scale zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1047320322001493,"Zero-shot learning has received growing attention, which aims to improve generalization to unseen concepts. The key challenge in zero-shot tasks is to precisely model the relationship …"
Explainable zero-shot learning via attentive graph convolutional network and knowledge graphs,https://content.iospress.com/articles/semantic-web/sw210435,"Zero-shot learning (ZSL) which aims to deal with new classes that have never appeared in the training data (ie, unseen classes) has attracted massive research interests recently …"
Attribute propagation network for graph zero-shot learning,https://aaai.org/ojs/index.php/AAAI/article/view/5923,"The goal of zero-shot learning (ZSL) is to train a model to classify samples of classes that were not seen during training. To address this challenging task, most ZSL methods relate …"
Ontozsl: Ontology-enhanced zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3442381.3450042,"Zero-shot Learning (ZSL), which aims to predict for those classes that have never appeared in the training data, has arisen hot research interests. The key of implementing ZSL is to …"
Rethinking knowledge graph propagation for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Kampffmeyer_Rethinking_Knowledge_Graph_Propagation_for_Zero-Shot_Learning_CVPR_2019_paper.html,Graph convolutional neural networks have recently shown great potential for the task of zero-shot learning. These models are highly sample efficient as related concepts in the graph …
Improving zero-shot learning baselines with commonsense knowledge,https://link.springer.com/article/10.1007/s12559-022-10044-0,Zero-shot learning—the problem of training and testing on a completely disjoint set of classes—relies greatly on its ability to transfer knowledge from train classes to test classes …
Disentangled ontology embedding for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3534678.3539453,"Knowledge Graph (KG) and its variant of ontology have been widely used for knowledge representation, and have shown to be quite effective in augmenting Zero-shot Learning …"
Meta hyperbolic networks for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231222003344,"Abstract Zero-Shot Learning (ZSL) aims at generalizing the classification experience from seen classes to unseen classes with auxiliary side information, among which word vectors of …"
