title,link,snippet
Adversarial zero-shot learning with semantic augmentation,https://ojs.aaai.org/index.php/AAAI/article/view/11886,"In situations in which labels are expensive or difficult to obtain, deep neural networks for object recognition often suffer to achieve fair performance. Zero-shot learning is dedicated to …"
Dual-uncertainty Guided Cycle-consistent Network for Zero-shot Learning,https://ieeexplore.ieee.org/abstract/document/10113664/,Zero-shot learning (ZSL) aims to identify novel categories via transferring shared semantic knowledge from seen classes to unseen ones. Since labeled samples of novel categories …
Adapting language models for zero-shot learning by meta-tuning on dataset and prompt collections,https://arxiv.org/abs/2104.04670,"Large pre-trained language models (LMs) such as GPT-3 have acquired a surprising ability to perform zero-shot learning. For example, to classify sentiment without any training …"
Mitigating generation shifts for generalized zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3474085.3475258,"Generalized Zero-Shot Learning (GZSL) is the task of leveraging semantic information to recognize seen and unseen samples, where unseen classes are not observable during …"
Domain-aware visual bias eliminating for generalized zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2020/html/Min_Domain-Aware_Visual_Bias_Eliminating_for_Generalized_Zero-Shot_Learning_CVPR_2020_paper.html,Generalized zero-shot learning aims to recognize images from seen and unseen domains. Recent methods focus on learning a unified semantic-aligned visual representation to …
Attribute attention for semantic disambiguation in zero-shot learning,http://openaccess.thecvf.com/content_ICCV_2019/html/Liu_Attribute_Attention_for_Semantic_Disambiguation_in_Zero-Shot_Learning_ICCV_2019_paper.html,Zero-shot learning (ZSL) aims to accurately recognize unseen objects by learning mapping matrices that bridge the gap between visual information and semantic attributes. Previous …
Contrastive semantic disentanglement in latent space for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0950705122010425,The target of generalized zero-shot learning (GZSL) is to train a model that can classify data samples from both seen categories and unseen categories under the circumstances that …
A joint generative model for zero-shot learning,http://openaccess.thecvf.com/content_eccv_2018_workshops/w23/html/Gao_A_Joint_Generative_Model_for_Zero-Shot_Learning_ECCVW_2018_paper.html,"Zero-shot learning (ZSL) is a challenging task due to the lack of data from unseen classes during training. Existing methods tend to have the strong bias towards seen classes, which …"
I2dformer: Learning image to document attention for zero-shot image classification,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4fca3029c9ead4551937ed6987502e5f-Abstract-Conference.html,"Despite the tremendous progress in zero-shot learning (ZSL), the majority of existing methods still rely on human-annotated attributes, which are difficult to annotate and scale …"
Alleviating feature confusion for generative zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3343031.3350901,"Lately, generative adversarial networks (GANs) have been successfully applied to zero-shot learning (ZSL) and achieved state-of-the-art performance. By synthesizing virtual unseen …"
