title,link,snippet
Semantically grounded visual embeddings for zero-shot learning,http://openaccess.thecvf.com/content/CVPR2022W/MULA/html/Nawaz_Semantically_Grounded_Visual_Embeddings_for_Zero-Shot_Learning_CVPRW_2022_paper.html,"Zero-shot learning methods rely on fixed visual and semantic embeddings, extracted from independent vision and language models, both pre-trained for other large-scale tasks. This …"
Large-scale zero-shot image classification from rich and diverse textual descriptions,https://arxiv.org/abs/2103.09669,We study the impact of using rich and diverse textual descriptions of classes for zero-shot learning (ZSL) on ImageNet. We create a new dataset ImageNet-Wiki that matches each …
Feature generating networks for zero-shot learning,http://openaccess.thecvf.com/content_cvpr_2018/html/Xian_Feature_Generating_Networks_CVPR_2018_paper.html,"Suffering from the extreme training data imbalance between seen and unseen classes, most of existing state-of-the-art approaches fail to achieve satisfactory results for the challenging …"
Classifier and exemplar synthesis for zero-shot learning,https://link.springer.com/article/10.1007/s11263-019-01193-1,"Zero-shot learning (ZSL) enables solving a task without the need to see its examples. In this paper, we propose two ZSL frameworks that learn to synthesize parameters for novel …"
Msdn: Mutually semantic distillation network for zero-shot learning,http://openaccess.thecvf.com/content/CVPR2022/html/Chen_MSDN_Mutually_Semantic_Distillation_Network_for_Zero-Shot_Learning_CVPR_2022_paper.html,"The key challenge of zero-shot learning (ZSL) is how to infer the latent semantic knowledge between visual and attribute features on seen classes, and thus achieving a desirable …"
Cross-class generative network for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0020025520312299,Zero-shot learning (ZSL) aims to recognize unseen classes when no training samples are provided for these classes. A traditional approach to solving ZSL is to generate samples of …
Dual adversarial semantics-consistent network for generalized zero-shot learning,https://proceedings.neurips.cc/paper/2019/hash/c46482dd5d39742f0bfd417b492d0e8e-Abstract.html,Generalized zero-shot learning (GZSL) is a challenging class of vision and knowledge transfer problems in which both seen and unseen classes appear during testing. Existing …
Region semantically aligned network for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3459637.3482471,Zero-shot learning (ZSL) aims to recognize unseen classes based on the knowledge of seen classes. Previous methods focused on learning direct embeddings from global features to …
"Rethink, revisit, revise: A spiral reinforced self-revised network for zero-shot learning",https://ieeexplore.ieee.org/abstract/document/9783466/,"Current approaches to zero-shot learning (ZSL) struggle to learn generalizable semantic knowledge capable of capturing complex correlations. Inspired by Spiral Curriculum, which …"
Latent embedding feedback and discriminative features for zero-shot classification,https://link.springer.com/chapter/10.1007/978-3-030-58542-6_29,"Zero-shot learning strives to classify unseen categories for which no data is available during training. In the generalized variant, the test samples can further belong to seen or unseen …"
