title,link,snippet
Visual space optimization for zero-shot learning,https://arxiv.org/abs/1907.00330,"Zero-shot learning, which aims to recognize new categories that are not included in the training set, has gained popularity owing to its potential ability in the real-word applications …"
GAN-MVAE: A discriminative latent feature generation framework for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0167865522000368,Generalized zero-shot learning (GZSL) is a challenging task that aims to recognize both seen and unseen classes. It is achieved by transferring knowledge from seen classes to …
Graph knows unknowns: Reformulate zero-shot learning as sample-level graph recognition,https://ojs.aaai.org/index.php/AAAI/article/view/25942,"Zero-shot learning (ZSL) is an extreme case of transfer learning that aims to recognize samples (eg, images) of unseen classes relying on a train-set covering only seen classes …"
Center-VAE with discriminative and semantic-relevant fine-tuning features for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S092359652200176X,Many approaches in generalized zero-shot learning (GZSL) rely on the visual features extracted by CNN pre-trained on ImageNet and artificially designed semantic features …
Generative zero-shot learning via low-rank embedded semantic dictionary,https://ieeexplore.ieee.org/abstract/document/8451907/,"Zero-shot learning for visual recognition, which approaches identifying unseen categories through a shared visual-semantic function learned on the seen categories and is expected …"
Generalized zero-shot learning with multiple graph adaptive generative networks,https://ieeexplore.ieee.org/abstract/document/9335504/,"Generative adversarial networks (GANs) for (generalized) zero-shot learning (ZSL) aim to generate unseen image features when conditioned on unseen class embeddings, each of …"
Benchmarking knowledge-driven zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1570826822000415,External knowledge (aka side information) plays a critical role in zero-shot learning (ZSL) which aims to predict with unseen classes that have never appeared in training data …
Inference guided feature generation for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231220316933,"Generalized zero-shot learning suffers from an extreme data imbalance problem, that is, the training data only come from seen classes while no unseen class data are available …"
Model selection for generalized zero-shot learning,http://openaccess.thecvf.com/content_eccv_2018_workshops/w8/html/Zhang_Model_Selection_for_Generalized_Zero-shot_Learning_ECCVW_2018_paper.html,"In the problem of generalized zero-shot learning, the datapoints from unknown classes are not available during training. The main challenge for generalized zero-shot learning is the …"
Free: Feature refinement for generalized zero-shot learning,http://openaccess.thecvf.com/content/ICCV2021/html/Chen_FREE_Feature_Refinement_for_Generalized_Zero-Shot_Learning_ICCV_2021_paper.html,"Generalized zero-shot learning (GZSL) has achieved significant progress, with many efforts dedicated to overcoming the problems of visual-semantic domain gaps and seen-unseen …"
