title,link,snippet
Robust bidirectional generative network for generalized zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9102961/,"In this work, we propose a novel generative approach named Robust Bidirectional Generative Network (RBGN) based on Conditional Generative Adversarial Network (CGAN) …"
Graph and autoencoder based feature extraction for zero-shot learning.,https://www.ijcai.org/proceedings/2019/0421.pdf,Zero-shot learning (ZSL) aims to build models to recognize novel visual categories that have no associated labelled training samples. The basic framework is to transfer knowledge from …
Low-rank embedded ensemble semantic dictionary for zero-shot learning,http://openaccess.thecvf.com/content_cvpr_2017/html/Ding_Low-Rank_Embedded_Ensemble_CVPR_2017_paper.html,"Zero-shot learning for visual recognition has received much interest in the most recent years. However, the semantic gap across visual features and their underlying semantics is still the …"
Zero-shot learning via structure-aligned generative adversarial network,https://ieeexplore.ieee.org/abstract/document/9449653/,"In this article, we propose a structure-aligned generative adversarial network framework to improve zero-shot learning (ZSL) by mitigating the semantic gap, domain shift, and hubness …"
Similarity preserving feature generating networks for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231220305488,"Traditional zero-shot learning methods usually solve the problem through visual semantic embedding. Recently, considering the power of generating adversarial network, some …"
Zero-shot learning by generating pseudo feature representations,https://arxiv.org/abs/1703.06389,Zero-shot learning (ZSL) is a challenging task aiming at recognizing novel classes without any training instances. In this paper we present a simple but high-performance ZSL …
Visual-semantic aligned bidirectional network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9693152/,"Zero-shot learning (ZSL) aims to recognize unknown categories that are unavailable during training. Recently, generative models have shown the potential to address this challenging …"
Zero-shot learning via class-conditioned deep generative models,https://ojs.aaai.org/index.php/AAAI/article/view/11600,"We present a deep generative model for Zero-Shot Learning (ZSL). Unlike most existing methods for this problem, that represent each class as a point (via a semantic embedding) …"
A generative adversarial approach for zero-shot learning from noisy texts,http://openaccess.thecvf.com/content_cvpr_2018/html/Zhu_A_Generative_Adversarial_CVPR_2018_paper.html,Most existing zero-shot learning methods consider the problem as a visual semantic embedding one. Given the demonstrated capability of Generative Adversarial Networks …
Episode-based prototype generating network for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2020/html/Yu_Episode-Based_Prototype_Generating_Network_for_Zero-Shot_Learning_CVPR_2020_paper.html,"We introduce a simple yet effective episode-based training framework for zero-shot learning (ZSL), where the learning system requires to recognize unseen classes given only the …"
