title,link,snippet
Zero-shot learning with common sense knowledge graphs,https://arxiv.org/abs/2006.10713,Zero-shot learning relies on semantic class representations such as hand-engineered attributes or learned embeddings to predict classes without any labeled examples. We …
Zero-shot learning via contrastive learning on dual knowledge graphs,https://openaccess.thecvf.com/content/ICCV2021W/GSP-CV/html/Wang_Zero-Shot_Learning_via_Contrastive_Learning_on_Dual_Knowledge_Graphs_ICCVW_2021_paper.html,"Abstract Graph Convolutional Networks (GCNs), which can integrate both explicit knowledge and implicit knowledge together, have shown effectively for zero-shot learning …"
Semantic guided knowledge graph for large-scale zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1047320322001493,"Zero-shot learning has received growing attention, which aims to improve generalization to unseen concepts. The key challenge in zero-shot tasks is to precisely model the relationship …"
Explainable zero-shot learning via attentive graph convolutional network and knowledge graphs,https://content.iospress.com/articles/semantic-web/sw210435,"Zero-shot learning (ZSL) which aims to deal with new classes that have never appeared in the training data (ie, unseen classes) has attracted massive research interests recently …"
Attribute propagation network for graph zero-shot learning,https://aaai.org/ojs/index.php/AAAI/article/view/5923,"The goal of zero-shot learning (ZSL) is to train a model to classify samples of classes that were not seen during training. To address this challenging task, most ZSL methods relate …"
Ontozsl: Ontology-enhanced zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3442381.3450042,"Zero-shot Learning (ZSL), which aims to predict for those classes that have never appeared in the training data, has arisen hot research interests. The key of implementing ZSL is to …"
Rethinking knowledge graph propagation for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Kampffmeyer_Rethinking_Knowledge_Graph_Propagation_for_Zero-Shot_Learning_CVPR_2019_paper.html,Graph convolutional neural networks have recently shown great potential for the task of zero-shot learning. These models are highly sample efficient as related concepts in the graph …
Improving zero-shot learning baselines with commonsense knowledge,https://link.springer.com/article/10.1007/s12559-022-10044-0,Zero-shot learning—the problem of training and testing on a completely disjoint set of classes—relies greatly on its ability to transfer knowledge from train classes to test classes …
Disentangled ontology embedding for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3534678.3539453,"Knowledge Graph (KG) and its variant of ontology have been widely used for knowledge representation, and have shown to be quite effective in augmenting Zero-shot Learning …"
Meta hyperbolic networks for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231222003344,"Abstract Zero-Shot Learning (ZSL) aims at generalizing the classification experience from seen classes to unseen classes with auxiliary side information, among which word vectors of …"
Gndan: Graph navigated dual attention network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9768177/,"Zero-shot learning (ZSL) tackles the unseen class recognition problem by transferring semantic knowledge from seen classes to unseen ones. Typically, to guarantee desirable …"
Generative mixup networks for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9696180/,"Zero-shot learning casts light on lacking unseen class data by transferring knowledge from seen classes via a joint semantic space. However, the distributions of samples from seen …"
Residual graph convolutional networks for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3338533.3366552,"Most existing Zero-Shot Learning (ZSL) approaches adopt the semantic space as a bridge to classify unseen categories. However, it is difficult to transfer knowledge from seen …"
Generalized zero-shot learning with deep calibration network,https://proceedings.neurips.cc/paper_files/paper/2018/hash/1587965fb4d4b5afe8428a4a024feb0d-Abstract.html,A technical challenge of deep learning is recognizing target classes without seen data. Zero-shot learning leverages semantic representations such as attributes or class prototypes to …
Transferable contrastive network for generalized zero-shot learning,http://openaccess.thecvf.com/content_ICCV_2019/html/Jiang_Transferable_Contrastive_Network_for_Generalized_Zero-Shot_Learning_ICCV_2019_paper.html,"Zero-shot learning (ZSL) is a challenging problem that aims to recognize the target categories without seen data, where semantic information is leveraged to transfer …"
Gradient matching generative networks for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Sariyildiz_Gradient_Matching_Generative_Networks_for_Zero-Shot_Learning_CVPR_2019_paper.html,"Zero-shot learning (ZSL) is one of the most promising problems where substantial progress can potentially be achieved through unsupervised learning, due to distributional differences …"
Vgse: Visually-grounded semantic embeddings for zero-shot learning,http://openaccess.thecvf.com/content/CVPR2022/html/Xu_VGSE_Visually-Grounded_Semantic_Embeddings_for_Zero-Shot_Learning_CVPR_2022_paper.html,"Human-annotated attributes serve as powerful semantic embeddings in zero-shot learning. However, their annotation process is labor-intensive and needs expert supervision. Current …"
Visual-semantic consistency matching network for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231223002278,Generalized zero-shot learning aims to classify samples of seen and unseen classes by providing only the labels of seen classes. Most GZSL methods directly associate seen …
Isometric propagation network for generalized zero-shot learning,https://arxiv.org/abs/2102.02038,Zero-shot learning (ZSL) aims to classify images of an unseen class only based on a few attributes describing that class but no access to any training sample. A popular strategy is to …
Semantics disentangling for generalized zero-shot learning,http://openaccess.thecvf.com/content/ICCV2021/html/Chen_Semantics_Disentangling_for_Generalized_Zero-Shot_Learning_ICCV_2021_paper.html,Generalized zero-shot learning (GZSL) aims to classify samples under the assumption that some classes are not observable during training. To bridge the gap between the seen and …
