title,link,snippet
Transzero: Attribute-guided transformer for zero-shot learning,https://ojs.aaai.org/index.php/AAAI/article/view/19909,Zero-shot learning (ZSL) aims to recognize novel classes by transferring semantic knowledge from seen classes to unseen ones. Semantic knowledge is learned from attribute …
Leveraging seen and unseen semantic relationships for generative zero-shot learning,https://link.springer.com/chapter/10.1007/978-3-030-58577-8_5,Zero-shot learning (ZSL) addresses the unseen class recognition problem by leveraging semantic information to transfer knowledge from seen classes to unseen classes …
Graph-based visual-semantic entanglement network for zero-shot image recognition,https://ieeexplore.ieee.org/abstract/document/9437712/,"Zero-shot learning uses semantic attributes to connect the search space of unseen objects. In recent years, although the deep convolutional network brings powerful visual modeling …"
Avgzslnet: Audio-visual generalized zero-shot learning by reconstructing label features from multi-modal embeddings,http://openaccess.thecvf.com/content/WACV2021/html/Mazumder_AVGZSLNet_Audio-Visual_Generalized_Zero-Shot_Learning_by_Reconstructing_Label_Features_From_WACV_2021_paper.html,"In this paper, we propose a novel approach for generalized zero-shot learning in a multi-modal setting, where we have novel classes of audio/video during testing that are not seen …"
An entropy-guided reinforced partial convolutional network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9698028/,Zero-Shot Learning (ZSL) aims to transfer learned knowledge from observed classes to unseen classes via semantic correlations. A promising strategy is to learn a global-local …
Learning robust visual-semantic mapping for zero-shot learning,https://arxiv.org/abs/2104.05668,"Zero-shot learning (ZSL) aims at recognizing unseen class examples (eg, images) with knowledge transferred from seen classes. This is typically achieved by exploiting a semantic …"
Marginalized latent semantic encoder for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Ding_Marginalized_Latent_Semantic_Encoder_for_Zero-Shot_Learning_CVPR_2019_paper.html,"Zero-shot learning has been well explored to precisely identify new unobserved classes through a visual-semantic function obtained from the existing objects. However, there exist …"
TransZero++: Cross attribute-guided transformer for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9987664/,Zero-shot learning (ZSL) tackles the novel class recognition problem by transferring semantic knowledge from seen classes to unseen ones. Semantic knowledge is typically …
Zero-shot learning via simultaneous generating and learning,https://proceedings.neurips.cc/paper/2019/hash/19ca14e7ea6328a42e0eb13d585e4c22-Abstract.html,"To overcome the absence of training data for unseen classes, conventional zero-shot learning approaches mainly train their model on seen datapoints and leverage the semantic …"
Field-guide-inspired zero-shot learning,http://openaccess.thecvf.com/content/ICCV2021/html/Mall_Field-Guide-Inspired_Zero-Shot_Learning_ICCV_2021_paper.html,"Modern recognition systems require large amounts of supervision to achieve accuracy. Adapting to new domains requires significant data from experts, which is onerous and can …"
